Name,Location,Year Established,Area
Acadia National Park,Maine,1919,48876.58
National Park of American Samoa,American Samoa,1988,8256.67
Arches National Park,Utah,1971,76678.98
Badlands National Park,South Dakota,1978,242755.94
Big Bend National Park,Texas,1944,801163.21
Biscayne National Park,Florida,1980,172971.11
Black Canyon of the Gunnison National Park,Colorado,1999,30750.03
Bryce Canyon National Park,Utah,1928,35835.08
Canyonlands National Park,Utah,1964,337597.83
Capitol Reef National Park,Utah,1971,241904.26
Carlsbad Caverns National Park,New Mexico,1930,46766.45
Channel Islands National Park,California,1980,249561
Congaree National Park,South Carolina,2003,26275.82
Crater Lake National Park,Oregon,1902,183224.05
Cuyahoga Valley National Park,Ohio,2000,32831.18
Death Valley National Park,California,1994,3373062.74
Denali National Park and Preserve,Alaska,1917,4740911.16
Dry Tortugas National Park,Florida,1992,64701.22
Everglades National Park,Florida,1947,1400539.3
Gates of the Arctic National Park and Preserve,Alaska,1980,7523897.45
Glacier National Park (part of Waterton-Glacier International Peace Park),Montana,1910,1013322.17
Glacier Bay National Park and Preserve,Alaska,1980,3223383.43
Grand Canyon National Park,Arizona,1919,1217191.35
Grand Teton National Park,Wyoming,1929,310044.22
Great Basin National Park,Nevada,1986,77180
Great Sand Dunes National Park and Preserve,Colorado,2004,94687.84
Great Smoky Mountains National Park,North Carolina,1934,522426.88
Guadalupe Mountains National Park,Texas,1966,86367.1
Haleakala National Park,Hawaii,1916,33264.62
Hawaii Volcanoes National Park,Hawaii,1916,323431.38
Hot Springs National Park,Arkansas,1921,5549.26
Isle Royale National Park,Michigan,1940,571790.11
Joshua Tree National Park,California,1994,790635.74
Katmai National Park and Preserve,Alaska,1980,3674368.02
Kenai Fjords National Park,Alaska,1980,669983.65
Kings Canyon National Park,California,1940,461901.2
Kobuk Valley National Park,Alaska,1980,1750716.16
Lake Clark National Park and Preserve,Alaska,1980,2619712.56
Lassen Volcanic National Park,California,1916,106452.33
Mammoth Cave National Park,Kentucky,1941,52830.19
Mesa Verde National Park,Colorado,1906,52485.17
Mount Rainier National Park,Washington,1899,236381.49
North Cascades National Park,Washington,1968,504780.94
Olympic National Park,Washington,1938,922650.1
Petrified Forest National Park,Arizona,1962,221414.59
Pinnacles National Park,California,2013,26605.73
Redwood National and State Parks,California,1968,138885.46
Rocky Mountain National Park,Colorado,1915,265795.2
Saguaro National Park,Arizona,1994,91442.42
Sequoia National Park,California,1890,404062.63
Shenandoah National Park,Virginia,1935,199116.92
Theodore Roosevelt National Park,North Dakota,1978,70446.89
Virgin Islands National Park,U.S. Virgin Islands,1956,14944.84
Voyageurs National Park,Minnesota,1975,218200.15
Wind Cave National Park,South Dakota,1903,33847.08
Wrangell-St. Elias National Park and Preserve,Alaska,1980,8323146.5
Yellowstone National Park,Wyoming,1872,2219790.71
Yosemite National Park,California,1890,761267.5
Zion National Park,Utah,1919,147237.02
